x,y,z
41.273,78.65,-0.001
41.317,78.739,-0.001
41.363,78.828,-0.001
41.409,78.917,-0.001
41.454,79.006,-0.001
41.5,79.094,-0.001
41.546,79.183,-0.001
41.592,79.272,-0.001
41.638,79.361,-0.001
41.684,79.449,-0.001
41.73,79.538,-0.001
41.776,79.628,-0.001
41.822,79.717,-0.001
41.867,79.805,-0.001
41.913,79.894,-0.001
41.959,79.983,-0.001
42.005,80.072,-0.001
42.052,80.16,-0.001
42.099,80.248,-0.001
42.146,80.336,-0.001
42.192,80.425,-0.001
42.239,80.514,-0.001
42.286,80.602,-0.001
42.332,80.691,-0.001
42.378,80.779,-0.001
42.423,80.869,-0.001
42.467,80.958,-0.001
42.512,81.047,-0.001
42.557,81.137,-0.001
42.602,81.226,-0.001
42.647,81.315,-0.001
42.694,81.404,-0.001
42.742,81.492,-0.001
42.789,81.58,-0.001
42.837,81.668,-0.001
42.885,81.755,-0.001
42.932,81.843,-0.001
42.98,81.931,-0.001
43.028,82.02,-0.001
43.075,82.108,-0.001
43.122,82.195,-0.001
43.17,82.283,-0.001
43.217,82.371,-0.001
43.265,82.459,-0.001
43.312,82.547,-0.001
43.359,82.635,-0.001
43.407,82.724,-0.001
43.454,82.812,-0.001
43.502,82.899,-0.001
43.551,82.987,-0.001
43.599,83.074,-0.001
43.647,83.162,-0.001
43.695,83.249,-0.001
43.743,83.338,-0.001
43.791,83.426,-0.001
43.838,83.514,-0.001
43.886,83.601,-0.001
43.933,83.689,-0.001
43.98,83.777,-0.001
44.028,83.865,-0.001
44.076,83.953,-0.001
44.123,84.041,-0.001
44.171,84.129,-0.001
44.219,84.217,-0.001
44.266,84.305,-0.001
44.313,84.393,-0.001
44.36,84.481,-0.001
44.406,84.57,-0.001
44.453,84.659,-0.001
44.5,84.747,-0.001
44.546,84.836,-0.001
44.592,84.925,-0.001
44.636,85.014,-0.001
44.681,85.103,-0.001
44.726,85.192,-0.001
44.775,85.28,-0.001
44.826,85.365,-0.001
44.878,85.452,-0.001
44.929,85.537,-0.001
44.98,85.623,-0.001
45.032,85.708,-0.001
45.083,85.795,-0.001
45.135,85.88,-0.001
45.185,85.966,-0.001
45.233,86.054,-0.001
45.281,86.142,-0.001
45.328,86.23,-0.001
45.376,86.319,-0.001
45.423,86.406,-0.001
45.471,86.494,-0.001
45.518,86.583,-0.001
45.564,86.671,-0.001
45.61,86.76,-0.001
45.655,86.848,-0.001
45.702,86.937,-0.001
45.748,87.027,-0.001
45.794,87.115,-0.001
45.84,87.204,-0.001
45.887,87.292,-0.001
45.933,87.381,-0.001
45.979,87.47,-0.001
46.025,87.558,-0.001
46.071,87.647,-0.001
46.118,87.735,-0.001
46.166,87.823,-0.001
46.213,87.912,-0.001
46.268,87.995,-0.001
46.323,88.079,-0.001
46.377,88.163,-0.001
46.432,88.246,-0.001
46.487,88.33,-0.001
46.541,88.413,-0.001
46.596,88.498,-0.001
46.65,88.581,-0.001
46.705,88.665,-0.001
46.76,88.749,-0.001
46.814,88.832,-0.001
46.869,88.916,-0.001
46.924,89.0,-0.001
46.978,89.084,-0.001
47.033,89.167,-0.001
47.087,89.251,-0.001
47.142,89.335,-0.001
47.197,89.418,-0.001
47.251,89.502,-0.001
47.306,89.586,-0.001
47.361,89.67,-0.001
47.415,89.753,-0.001
47.47,89.838,-0.001
47.526,89.921,-0.001
47.58,90.004,-0.001
47.635,90.088,-0.001
47.689,90.172,-0.001
47.744,90.256,-0.001
47.799,90.339,-0.001
47.853,90.423,-0.001
47.908,90.507,-0.001
47.963,90.59,-0.001
48.017,90.675,-0.001
48.072,90.758,-0.001
48.126,90.842,-0.001
48.191,90.918,-0.001
48.255,90.994,-0.001
48.321,91.071,-0.001
48.385,91.147,-0.001
48.449,91.223,-0.001
48.518,91.296,-0.001
48.588,91.367,-0.001
48.657,91.44,-0.001
48.726,91.511,-0.001
48.796,91.583,-0.001
48.868,91.654,-0.001
48.939,91.724,-0.001
49.011,91.793,-0.001
49.082,91.864,-0.001
49.153,91.934,-0.001
49.226,92.002,-0.001
49.298,92.071,-0.001
49.371,92.14,-0.001
49.443,92.208,-0.001
49.516,92.277,-0.001
49.594,92.34,-0.001
49.673,92.402,-0.001
49.751,92.464,-0.001
49.83,92.526,-0.001
49.908,92.587,-0.001
49.989,92.646,-0.001
50.07,92.705,-0.001
50.151,92.764,-0.001
50.232,92.822,-0.001
50.312,92.881,-0.001
50.395,92.938,-0.001
50.477,92.995,-0.001
50.559,93.052,-0.001
50.641,93.109,-0.001
50.724,93.166,-0.001
50.807,93.222,-0.001
50.889,93.278,-0.001
50.972,93.334,-0.001
51.055,93.39,-0.001
51.138,93.446,-0.001
51.221,93.502,-0.001
51.304,93.558,-0.001
51.387,93.612,-0.001
51.47,93.668,-0.001
51.554,93.723,-0.001
51.637,93.779,-0.001
51.72,93.834,-0.001
51.803,93.89,-0.001
51.887,93.945,-0.001
51.97,94.0,-0.001
52.059,94.045,-0.001
52.149,94.091,-0.001
52.238,94.135,-0.001
52.327,94.18,-0.001
52.417,94.224,-0.001
52.509,94.263,-0.001
52.601,94.302,-0.001
52.694,94.341,-0.001
52.786,94.381,-0.001
52.878,94.419,-0.001
52.971,94.455,-0.001
53.064,94.492,-0.001
53.157,94.528,-0.001
53.25,94.565,-0.001
53.344,94.601,-0.001
53.437,94.636,-0.001
53.531,94.671,-0.001
53.624,94.706,-0.001
53.718,94.742,-0.001
53.812,94.776,-0.001
53.91,94.792,-0.001
54.009,94.807,-0.001
54.107,94.824,-0.001
54.206,94.839,-0.001
54.305,94.855,-0.001
54.405,94.862,-0.001
54.505,94.868,-0.001
54.604,94.873,-0.001
54.704,94.88,-0.001
54.804,94.886,-0.001
54.904,94.887,-0.001
55.004,94.889,-0.001
55.104,94.89,-0.001
55.204,94.892,-0.001
55.304,94.893,-0.001
55.404,94.892,-0.001
55.504,94.892,-0.001
55.604,94.89,-0.001
55.704,94.889,-0.001
55.804,94.889,-0.001
55.904,94.883,-0.001
56.004,94.878,-0.001
56.104,94.873,-0.001
56.204,94.868,-0.001
56.303,94.862,-0.001
56.403,94.855,-0.001
56.502,94.848,-0.001
56.603,94.841,-0.001
56.703,94.834,-0.001
56.802,94.827,-0.001
56.902,94.818,-0.001
57.001,94.811,-0.001
57.101,94.802,-0.001
57.201,94.794,-0.001
57.3,94.786,-0.001
57.4,94.777,-0.001
57.499,94.769,-0.001
57.599,94.76,-0.001
57.699,94.751,-0.001
57.798,94.743,-0.001
57.898,94.734,-0.001
57.998,94.725,-0.001
58.097,94.717,-0.001
58.197,94.708,-0.001
58.296,94.699,-0.001
58.396,94.691,-0.001
58.496,94.681,-0.001
58.585,94.636,-0.001
58.674,94.591,-0.001
58.763,94.546,-0.001
58.853,94.501,-0.001
58.942,94.455,-0.001
59.031,94.41,-0.001
59.12,94.366,-0.001
59.209,94.321,-0.001
59.299,94.276,-0.001
59.388,94.231,-0.001
59.478,94.186,-0.001
59.567,94.14,-0.001
59.656,94.095,-0.001
59.746,94.05,-0.001
59.835,94.005,-0.001
59.924,93.96,-0.001
60.013,93.915,-0.001
60.102,93.871,-0.001
60.192,93.826,-0.001
60.281,93.78,-0.001
60.37,93.735,-0.001
60.459,93.69,-0.001
60.548,93.645,-0.001
60.639,93.6,-0.001
60.728,93.555,-0.001
60.817,93.51,-0.001
60.906,93.465,-0.001
60.995,93.42,-0.001
61.085,93.375,-0.001
61.174,93.33,-0.001
61.263,93.285,-0.001
61.352,93.24,-0.001
61.441,93.195,-0.001
61.53,93.15,-0.001
61.62,93.104,-0.001
61.709,93.059,-0.001
